Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iran, Islamic Rep.","IRN","70.176","70.553","70.921","71.265","71.592","71.917","72.257","72.626","73.027","73.457","73.905","74.352","74.776","75.162","75.502","75.796","76.047","76.271","76.479","76.677","76.87"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ireland","IRL","76.5365853658537","77.1341463414634","77.6341463414634","78.1390243902439","78.5390243902439","78.9439024390244","79.2414634146342","79.6414634146341","80.0951219512195","80.190243902439","80.7439024390244","80.7463414634146","80.8463414634146","80.9487804878049","81.3487804878049","81.4536585365854","81.6536585365854","82.1560975609756","82.2048780487805","82.7024390243903","82.2048780487805"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Isle of Man","IMN","NA","NA","77.9658536585366","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Israel","ISR","78.9536585365854","79.4073170731707","79.4512195121951","79.6487804878049","80.1463414634146","80.1512195121951","80.5536585365854","80.5048780487805","80.9512195121951","81.4048780487805","81.6024390243903","81.6560975609756","81.7048780487805","82.0560975609756","82.1536585365854","82.0512195121951","82.4073170731707","82.5512195121951","82.8024390243903","82.8048780487805","82.7"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Italy","ITA","79.7780487804878","80.1268292682927","80.2292682926829","79.9829268292683","80.7804878048781","80.7829268292683","81.2829268292683","81.4341463414634","81.4853658536585","81.6365853658537","82.0365853658537","82.1878048780488","82.2390243902439","82.690243902439","83.090243902439","82.5439024390244","83.2439024390244","82.9463414634147","83.3463414634146","83.4975609756098","82.3439024390244"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Jamaica","JAM","74.142","74.139","74.14","74.142","74.146","74.148","74.143","74.129","74.103","74.071","74.038","74.012","74.001","74.01","74.042","74.098","74.175","74.267","74.368","74.475","74.586"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Japan","JPN","81.0760975609756","81.4170731707317","81.5634146341463","81.76","82.030243902439","81.9251219512195","82.3219512195122","82.5070731707317","82.5875609756098","82.9314634146342","82.8426829268293","82.5912195121951","83.0960975609756","83.3319512195122","83.5878048780488","83.7939024390244","83.9848780487805","84.099756097561","84.2109756097561","84.3563414634146","84.6156097560976"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Jordan","JOR","71.73","71.907","72.083","72.256","72.427","72.595","72.763","72.931","73.099","73.266","73.428","73.581","73.722","73.851","73.969","74.078","74.184","74.292","74.405","74.526","74.655"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kazakhstan","KAZ","65.45","65.76","65.95","65.74","66.06","65.86","66.15","66.34","67.11","68.39","68.45","68.69","69.52","70.62","71.44","71.97","72.41","72.95","73.15","73.18","71.37"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kenya","KEN","50.921","51.101","51.606","52.41","53.475","54.732","56.093","57.463","58.76","59.932","60.959","61.851","62.659","63.419","64.135","64.798","65.393","65.909","66.342","66.699","66.991"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kiribati","KIR","63.144","63.446","63.731","63.995","64.242","64.478","64.712","64.953","65.208","65.48","65.769","66.072","66.381","66.69","66.995","67.291","67.577","67.851","68.116","68.369","68.611"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Korea, Dem. People's Rep.","PRK","65.268","66.087","66.925","67.615","68.102","68.389","68.54","68.675","68.884","69.185","69.571","70.012","70.454","70.853","71.198","71.481","71.711","71.91","72.095","72.274","72.453"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Korea, Rep.","KOR","75.909756097561","76.4121951219512","76.7658536585366","77.2146341463415","77.6658536585366","78.1682926829268","78.6682926829268","79.119512195122","79.5170731707317","79.9682926829268","80.1170731707317","80.5682926829269","80.819512195122","81.2707317073171","81.7219512195122","82.0243902439024","82.2756097560976","82.6268292682927","82.6268292682927","83.2268292682927","83.4268292682927"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kosovo","XKX","67.9512195121951","67.9975609756098","67.9439024390244","68.1951219512195","68.4951219512195","68.6951219512195","68.9463414634146","69.1975609756098","69.4487804878049","69.6487804878049","69.9","70.2","70.4975609756098","70.7975609756098","71.0975609756098","71.3463414634146","71.8463414634146","72.2951219512195","72.6951219512195","73.0926829268293","71.0878048780488"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kuwait","KWT","73.142","73.21","73.28","73.355","73.439","73.538","73.66","73.807","73.976","74.162","74.358","74.55","74.728","74.885","75.019","75.13","75.224","75.311","75.398","75.489","75.586"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kyrgyz Republic","KGZ","68.5585365853659","68.7073170731707","68.1560975609756","68.2560975609756","68.1536585365854","67.9560975609756","67.6951219512195","67.8951219512195","68.4512195121951","69.1024390243903","69.3","69.6024390243903","70.0024390243902","70.2024390243902","70.4024390243902","70.6512195121951","70.9512195121951","71.2","71.4","71.6","71.8"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lao PDR","LAO","58.803","59.372","59.937","60.502","61.065","61.625","62.182","62.731","63.271","63.797","64.306","64.797","65.267","65.717","66.144","66.546","66.924","67.277","67.61","67.923","68.219"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Latvia","LVA","70.3146341463415","70.7609756097561","70.9609756097561","71.2658536585366","72.0268292682927","71.3560975609756","70.8658536585366","71.019512195122","72.419512195122","73.0804878048781","73.4829268292683","73.5756097560976","73.7780487804878","73.9829268292683","74.1243902439024","74.4804878048781","74.580487804878","74.6292682926829","74.7829268292683","75.3878048780488","75.3878048780488"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lebanon","LBN","74.507","74.999","75.488","75.969","76.432","76.865","77.26","77.609","77.911","78.161","78.36","78.507","78.611","78.683","78.732","78.768","78.8","78.833","78.875","78.93","79.004"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lesotho","LSO","47.691","46.197","44.898","43.845","43.083","42.658","42.595","42.854","43.384","44.146","45.1","46.207","47.416","48.663","49.891","51.038","52.059","52.947","53.705","54.331","54.836"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Liberia","LBR","51.734","52.236","52.826","53.554","54.422","55.393","56.4","57.365","58.229","58.971","59.6","60.146","60.663","61.186","61.723","62.269","62.802","63.295","63.73","64.104","64.423"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Liechtenstein","LIE","76.8268292682927","79.2756097560976","79.6365853658537","79.9609756097561","81.7707317073171","80.6682926829268","80.9487804878049","81.2951219512195","82.6829268292683","81.5","81.8414634146342","81.7926829268293","82.3829268292683","82.2609756097561","82.0731707317073","82.6560975609756","82.2585365853659","83.7463414634147","83.0414634146342","84.1609756097561","81.8073170731707"
